Year,STATE,STATENAME,ST_CASE,VEH_NO,PER_NO,PBPTYPE,PBPTYPENAME,PBAGE,PBAGENAME,PBSEX,PBSEXNAME,PBCWALK,PBCWALKNAME,PBSWALK,PBSWALKNAME,PBSZONE,PBSZONENAME,PEDCTYPE,PEDCTYPENAME,BIKECTYPE,BIKECTYPENAME,PEDLOC,PEDLOCNAME,BIKELOC,BIKELOCNAME,PEDPOS,PEDPOSNAME,BIKEPOS,BIKEPOSNAME,PEDDIR,PEDDIRNAME,BIKEDIR,BIKEDIRNAME,MOTDIR,MOTDIRNAME,MOTMAN,MOTMANNAME,PEDLEG,PEDLEGNAME,PEDSNR,PEDSNRNAME,PEDCGP,PEDCGPNAME,BIKECGP,BIKECGPNAME
2017,4,Arizona,40024,0,1,5,Pedestrian,37,37 Years,2,Female,0,None Noted,0,None Noted,0,None Noted,680,Not At Intersection - Other / Unknown,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,990,Other / Unknown - Insufficient Details,0,Not a Cyclist
2017,4,Arizona,40028,0,1,5,Pedestrian,25,25 Years,1,Male,0,None Noted,0,None Noted,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2017,4,Arizona,40032,0,1,5,Pedestrian,83,83 Years,1,Male,0,None Noted,1,Yes,0,None Noted,690,At Intersection - Other / Unknown,0,Not a Cyclist,1,At Intersection,7,Not a Cyclist,2,Crosswalk Area,7,Not a Cyclist,2,Eastbound,7,Not a Cyclist,4,Westbound,1,Left Turn,2,Farside,11b,"Motorist turning left - Crash Occurred on Far Side of Intersection / Pedestrian within crosswalk area, approach direction opposite motorist`s",990,Other / Unknown - Insufficient Details,0,Not a Cyclist
2017,4,Arizona,40034,0,1,5,Pedestrian,21,21 Years,1,Male,0,None Noted,1,Yes,0,None Noted,440,Walking/Running Along Roadway Against Traffic - From Front,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,400,Walking/Running Along Roadway,0,Not a Cyclist
2017,4,Arizona,40044,0,1,5,Pedestrian,59,59 Years,1,Male,1,Yes,1,Yes,0,None Noted,770,Motorist Failed to Yield,0,Not a Cyclist,1,At Intersection,7,Not a Cyclist,2,Crosswalk Area,7,Not a Cyclist,3,Southbound,7,Not a Cyclist,2,Eastbound,3,Straight through,2,Farside,3a,"Motorist traveling straight through - Crash Occurred on Far Side of Intersection / Pedestrian within crosswalk area, traveled from motorist`s left",750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2017,4,Arizona,40047,0,1,5,Pedestrian,48,48 Years,2,Female,0,None Noted,0,None Noted,0,None Noted,459,Walking/Running Along Roadway - Direction / Position Unknown,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,400,Walking/Running Along Roadway,0,Not a Cyclist
2017,4,Arizona,40048,0,1,5,Pedestrian,31,31 Years,1,Male,0,None Noted,0,None Noted,0,None Noted,410,Walking/Running Along Roadway With Traffic - From Behind,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,400,Walking/Running Along Roadway,0,Not a Cyclist
2017,4,Arizona,40050,0,1,5,Pedestrian,27,27 Years,2,Female,0,None Noted,0,None Noted,0,None Noted,741,Dash,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,740,Dash / Dart-Out,0,Not a Cyclist
2017,4,Arizona,40055,0,1,5,Pedestrian,47,47 Years,2,Female,0,None Noted,0,None Noted,0,None Noted,680,Not At Intersection - Other / Unknown,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,990,Other / Unknown - Insufficient Details,0,Not a Cyclist
2017,4,Arizona,40058,0,1,5,Pedestrian,80,80 Years,1,Male,0,None Noted,1,Yes,0,None Noted,741,Dash,0,Not a Cyclist,1,At Intersection,7,Not a Cyclist,2,Crosswalk Area,7,Not a Cyclist,9,Not Derived/Unknown Initial Direction of Travel,7,Not a Cyclist,3,Southbound,3,Straight through,9,Unknown/None of the Above,99,Unknown/Insufficient Information,740,Dash / Dart-Out,0,Not a Cyclist
2017,4,Arizona,40059,0,1,5,Pedestrian,25,25 Years,2,Female,0,None Noted,1,Yes,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2017,4,Arizona,40060,0,1,5,Pedestrian,57,57 Years,1,Male,0,None Noted,1,Yes,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2017,4,Arizona,40062,0,1,5,Pedestrian,19,19 Years,1,Male,0,None Noted,1,Yes,0,None Noted,741,Dash,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,740,Dash / Dart-Out,0,Not a Cyclist
2017,4,Arizona,40063,0,1,5,Pedestrian,24,24 Years,1,Male,0,None Noted,1,Yes,0,None Noted,160,Pedestrian Loss of Control,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,100,Unusual Circumstances,0,Not a Cyclist
2017,4,Arizona,40064,0,1,5,Pedestrian,53,53 Years,1,Male,0,None Noted,1,Yes,0,None Noted,410,Walking/Running Along Roadway With Traffic - From Behind,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,5,Sidewalk / Shared-Use Path / Driveway Access,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,400,Walking/Running Along Roadway,0,Not a Cyclist
2017,4,Arizona,40067,0,1,5,Pedestrian,40,40 Years,1,Male,0,None Noted,1,Yes,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2017,4,Arizona,40068,0,1,5,Pedestrian,27,27 Years,1,Male,0,None Noted,1,Yes,0,None Noted,440,Walking/Running Along Roadway Against Traffic - From Front,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,400,Walking/Running Along Roadway,0,Not a Cyclist
2017,4,Arizona,40070,0,1,5,Pedestrian,63,63 Years,1,Male,0,None Noted,1,Yes,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2017,4,Arizona,40071,0,1,6,Bicyclist,73,73 Years,1,Male,0,None Noted,1,Yes,0,None Noted,0,Not a Pedestrian,232,Motorist Overtaking - Misjudged Space,7,Not a Pedestrian,3,Not At Intersection,77,Not a Pedestrian,2,Bicycle Lane / Paved Shoulder / Parking Lane,7,Not a Pedestrian,1,With Traffic,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,0,Not a Pedestrian,230,Motorist Overtaking Bicyclist
2017,4,Arizona,40073,0,1,5,Pedestrian,21,21 Years,2,Female,0,None Noted,0,None Noted,0,None Noted,440,Walking/Running Along Roadway Against Traffic - From Front,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,400,Walking/Running Along Roadway,0,Not a Cyclist
2017,4,Arizona,40074,0,1,8,Person on Personal Conveyances,14,14 Years,2,Female,0,None Noted,1,Yes,0,None Noted,250,Play Vehicle-Related,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,100,Unusual Circumstances,0,Not a Cyclist
2017,4,Arizona,40075,0,1,5,Pedestrian,63,63 Years,1,Male,1,Yes,1,Yes,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,1,At Intersection,7,Not a Cyclist,2,Crosswalk Area,7,Not a Cyclist,3,Southbound,7,Not a Cyclist,4,Westbound,3,Straight through,2,Farside,3b,"Motorist traveling straight through - Crash Occurred on Far Side of Intersection / Pedestrian within crosswalk area, traveled from motorist`s right",750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2017,4,Arizona,40077,0,1,5,Pedestrian,35,35 Years,1,Male,1,Yes,1,Yes,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,1,At Intersection,7,Not a Cyclist,2,Crosswalk Area,7,Not a Cyclist,9,Not Derived/Unknown Initial Direction of Travel,7,Not a Cyclist,3,Southbound,3,Straight through,9,Unknown/None of the Above,99,Unknown/Insufficient Information,750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2017,4,Arizona,40084,0,1,5,Pedestrian,29,29 Years,2,Female,1,Yes,1,Yes,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2017,4,Arizona,40088,0,1,5,Pedestrian,39,39 Years,1,Male,0,None Noted,0,None Noted,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2017,4,Arizona,40089,0,1,6,Bicyclist,25,25 Years,1,Male,1,Yes,1,Yes,0,None Noted,0,Not a Pedestrian,222,Bicyclist Left Turn - Opposite Direction,7,Not a Pedestrian,1,At Intersection,77,Not a Pedestrian,1,Travel Lane,7,Not a Pedestrian,1,With Traffic,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,0,Not a Pedestrian,220,Bicyclist Left Turn / Merge
2017,4,Arizona,40093,0,1,5,Pedestrian,28,28 Years,2,Female,0,None Noted,1,Yes,0,None Noted,741,Dash,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,740,Dash / Dart-Out,0,Not a Cyclist
2017,4,Arizona,40097,0,1,8,Person on Personal Conveyances,32,32 Years,1,Male,0,None Noted,1,Yes,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,1,At Intersection,7,Not a Cyclist,2,Crosswalk Area,7,Not a Cyclist,4,Westbound,7,Not a Cyclist,1,Northbound,3,Straight through,2,Farside,3b,"Motorist traveling straight through - Crash Occurred on Far Side of Intersection / Pedestrian within crosswalk area, traveled from motorist`s right",750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2017,4,Arizona,40099,0,1,5,Pedestrian,37,37 Years,1,Male,0,None Noted,0,None Noted,0,None Noted,741,Dash,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,740,Dash / Dart-Out,0,Not a Cyclist
2017,4,Arizona,40103,0,1,5,Pedestrian,48,48 Years,1,Male,0,None Noted,0,None Noted,0,None Noted,680,Not At Intersection - Other / Unknown,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,990,Other / Unknown - Insufficient Details,0,Not a Cyclist
2017,4,Arizona,40105,0,1,5,Pedestrian,7,7 Years,1,Male,1,Yes,1,Yes,0,None Noted,742,Dart-Out,0,Not a Cyclist,1,At Intersection,7,Not a Cyclist,2,Crosswalk Area,7,Not a Cyclist,3,Southbound,7,Not a Cyclist,2,Eastbound,3,Straight through,1,Nearside,1a,"Motorist traveling straight through - Crash Occurred on Near (Approach) Side of Intersection / Pedestrian within crosswalk area, traveled from motorist`s left",740,Dash / Dart-Out,0,Not a Cyclist
2017,4,Arizona,40107,0,1,5,Pedestrian,50,50 Years,1,Male,0,None Noted,0,None Noted,0,None Noted,230,Disabled Vehicle-Related,0,Not a Cyclist,1,At Intersection,7,Not a Cyclist,9,Other/Unknown,7,Not a Cyclist,9,Not Derived/Unknown Initial Direction of Travel,7,Not a Cyclist,3,Southbound,3,Straight through,9,Unknown/None of the Above,99,Unknown/Insufficient Information,100,Unusual Circumstances,0,Not a Cyclist
2017,4,Arizona,40111,0,1,5,Pedestrian,85,85 Years,1,Male,0,None Noted,0,None Noted,0,None Noted,680,Not At Intersection - Other / Unknown,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,990,Other / Unknown - Insufficient Details,0,Not a Cyclist
2017,4,Arizona,40114,0,1,5,Pedestrian,31,31 Years,1,Male,0,None Noted,0,None Noted,0,None Noted,910,Crossing an Expressway,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,910,Crossing Expressway,0,Not a Cyclist
2017,4,Arizona,40117,0,1,5,Pedestrian,21,21 Years,1,Male,0,None Noted,0,None Noted,0,None Noted,910,Crossing an Expressway,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,910,Crossing Expressway,0,Not a Cyclist
2017,4,Arizona,40121,0,1,5,Pedestrian,60,60 Years,1,Male,1,Yes,1,Yes,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2017,4,Arizona,40122,0,1,5,Pedestrian,26,26 Years,2,Female,0,None Noted,9,Unknown,0,None Noted,900,Other - Unknown Location,0,Not a Cyclist,9,Unknown / Insufficient Information,7,Not a Cyclist,9,Other/Unknown,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,990,Other / Unknown - Insufficient Details,0,Not a Cyclist
2017,4,Arizona,40124,0,1,5,Pedestrian,54,54 Years,1,Male,0,None Noted,1,Yes,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2017,4,Arizona,40125,0,1,5,Pedestrian,71,71 Years,2,Female,0,None Noted,1,Yes,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2017,4,Arizona,40126,0,1,5,Pedestrian,65,65 Years,1,Male,0,None Noted,1,Yes,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,2,Intersection-Related,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,4,Westbound,7,Not a Cyclist,3,Southbound,3,Straight through,2,Farside,4a,"Motorist traveling straight through - Crash Occurred on Far Side of Intersection / Pedestrian outside crosswalk area, traveled from motorist`s left",750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2017,4,Arizona,40131,0,1,6,Bicyclist,61,61 Years,1,Male,0,None Noted,1,Yes,0,None Noted,0,Not a Pedestrian,970,Unknown Approach Paths,7,Not a Pedestrian,3,Not At Intersection,77,Not a Pedestrian,1,Travel Lane,7,Not a Pedestrian,9,Unknown,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,0,Not a Pedestrian,990,Other / Unknown - Insufficient Details
2017,4,Arizona,40133,0,1,5,Pedestrian,58,58 Years,1,Male,1,Yes,1,Yes,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2017,4,Arizona,40137,0,1,5,Pedestrian,83,83 Years,1,Male,0,None Noted,1,Yes,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2017,4,Arizona,40138,0,1,5,Pedestrian,50,50 Years,1,Male,1,Yes,1,Yes,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,1,At Intersection,7,Not a Cyclist,2,Crosswalk Area,7,Not a Cyclist,3,Southbound,7,Not a Cyclist,2,Eastbound,3,Straight through,2,Farside,3a,"Motorist traveling straight through - Crash Occurred on Far Side of Intersection / Pedestrian within crosswalk area, traveled from motorist`s left",750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2017,4,Arizona,40139,0,1,5,Pedestrian,57,57 Years,2,Female,0,None Noted,1,Yes,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2017,4,Arizona,40148,0,1,8,Person on Personal Conveyances,26,26 Years,1,Male,0,None Noted,1,Yes,0,None Noted,250,Play Vehicle-Related,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,100,Unusual Circumstances,0,Not a Cyclist
2017,4,Arizona,40149,0,1,5,Pedestrian,26,26 Years,1,Male,1,Yes,1,Yes,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2017,4,Arizona,40151,0,1,6,Bicyclist,67,67 Years,1,Male,0,None Noted,1,Yes,0,None Noted,0,Not a Pedestrian,221,Bicyclist Left Turn - Same Direction,7,Not a Pedestrian,3,Not At Intersection,77,Not a Pedestrian,1,Travel Lane,7,Not a Pedestrian,1,With Traffic,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,0,Not a Pedestrian,220,Bicyclist Left Turn / Merge
2017,4,Arizona,40161,0,1,5,Pedestrian,74,74 Years,1,Male,0,None Noted,1,Yes,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2017,4,Arizona,40163,0,1,5,Pedestrian,23,23 Years,1,Male,0,None Noted,1,Yes,0,None Noted,741,Dash,0,Not a Cyclist,1,At Intersection,7,Not a Cyclist,1,Intersection Area,7,Not a Cyclist,1,Northbound,7,Not a Cyclist,4,Westbound,3,Straight through,1,Nearside,2a,"Motorist traveling straight through - Crash Occurred on Near (Approach) Side of Intersection / Pedestrian outside crosswalk area, traveled from motorist`s left",740,Dash / Dart-Out,0,Not a Cyclist
2017,4,Arizona,40167,0,1,5,Pedestrian,42,42 Years,1,Male,1,Yes,1,Yes,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,2,Intersection-Related,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,2,Eastbound,7,Not a Cyclist,1,Northbound,3,Straight through,2,Farside,4a,"Motorist traveling straight through - Crash Occurred on Far Side of Intersection / Pedestrian outside crosswalk area, traveled from motorist`s left",750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2017,4,Arizona,40168,0,1,5,Pedestrian,19,19 Years,2,Female,0,None Noted,0,None Noted,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2017,4,Arizona,40173,0,1,5,Pedestrian,64,64 Years,1,Male,0,None Noted,1,Yes,0,None Noted,680,Not At Intersection - Other / Unknown,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,990,Other / Unknown - Insufficient Details,0,Not a Cyclist
2017,4,Arizona,40178,0,1,5,Pedestrian,20,20 Years,2,Female,1,Yes,1,Yes,0,None Noted,770,Motorist Failed to Yield,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,2,Crosswalk Area,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2017,4,Arizona,40185,0,1,6,Bicyclist,57,57 Years,1,Male,0,None Noted,0,None Noted,0,None Noted,0,Not a Pedestrian,231,Motorist Overtaking - Undetected Bicyclist,7,Not a Pedestrian,3,Not At Intersection,77,Not a Pedestrian,1,Travel Lane,7,Not a Pedestrian,1,With Traffic,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,0,Not a Pedestrian,230,Motorist Overtaking Bicyclist
2017,4,Arizona,40188,0,1,5,Pedestrian,49,49 Years,2,Female,0,None Noted,1,Yes,0,None Noted,795,Motorist Right Turn - Perpendicular Paths,0,Not a Cyclist,1,At Intersection,7,Not a Cyclist,2,Crosswalk Area,7,Not a Cyclist,4,Westbound,7,Not a Cyclist,1,Northbound,2,Right Turn,1,Nearside,5b,"Motorist turning right - Crash Occurred on Near (Approach) Side of Intersection / Pedestrian within crosswalk area, traveled from motorist`s right",790,Crossing Roadway - Vehicle Turning,0,Not a Cyclist
2017,4,Arizona,40190,0,1,7,Other Cyclist,77,77 Years,1,Male,0,None Noted,1,Yes,0,None Noted,0,Not a Pedestrian,239,Motorist Overtaking - Other/ Unknown,7,Not a Pedestrian,3,Not At Intersection,77,Not a Pedestrian,1,Travel Lane,7,Not a Pedestrian,1,With Traffic,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,0,Not a Pedestrian,230,Motorist Overtaking Bicyclist
2017,4,Arizona,40193,0,1,6,Bicyclist,54,54 Years,1,Male,0,None Noted,1,Yes,0,None Noted,0,Not a Pedestrian,239,Motorist Overtaking - Other/ Unknown,7,Not a Pedestrian,3,Not At Intersection,77,Not a Pedestrian,1,Travel Lane,7,Not a Pedestrian,1,With Traffic,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,7,Not a Pedestrian,0,Not a Pedestrian,230,Motorist Overtaking Bicyclist
2017,4,Arizona,40196,0,1,5,Pedestrian,52,52 Years,1,Male,0,None Noted,1,Yes,0,None Noted,770,Motorist Failed to Yield,0,Not a Cyclist,1,At Intersection,7,Not a Cyclist,2,Crosswalk Area,7,Not a Cyclist,2,Eastbound,7,Not a Cyclist,1,Northbound,3,Straight through,2,Farside,3a,"Motorist traveling straight through - Crash Occurred on Far Side of Intersection / Pedestrian within crosswalk area, traveled from motorist`s left",750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2017,4,Arizona,40200,0,1,5,Pedestrian,44,44 Years,1,Male,0,None Noted,1,Yes,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
2017,4,Arizona,40201,0,1,5,Pedestrian,49,49 Years,1,Male,0,None Noted,1,Yes,0,None Noted,760,Pedestrian Failed to Yield,0,Not a Cyclist,3,Not At Intersection,7,Not a Cyclist,3,Travel Lane,7,Not a Cyclist,8,Not Applicable,7,Not a Cyclist,8,Not Applicable,8,Not Applicable,8,Not Applicable,8,Not Applicable,750,Crossing Roadway - Vehicle Not Turning,0,Not a Cyclist
